,centroidX,centroidY,angleBetweenLegs,lengthOfLeftLeg,lengthOfRightLeg,class
215,763.0,349.0,-42.07906129734005,115.87924749496783,98.43271813782243,walking
216,764.0,349.0,-35.31298961234985,111.8257573191436,98.08159868191383,walking
217,758.0,349.0,-36.89473326609746,112.08925015361645,98.79271228182773,walking
218,760.0,349.0,-30.986647373649447,110.02272492535347,105.34229919647665,walking
219,747.0,348.0,-5.167565340361337,108.11567878897121,91.08786966440702,walking
220,726.0,351.0,-7.0951943839377,106.30145812734648,103.12128781197411,walking
221,726.0,351.0,0.0,105.01904589168576,105.01904589168576,walking
222,726.0,352.0,0.0,105.0761628534274,105.0761628534274,walking
223,723.0,354.0,0.0,103.07764064044153,103.07764064044153,walking
224,704.0,354.0,0.0,103.1746092796091,103.1746092796091,walking
225,701.0,354.0,0.0,103.0436800585072,103.0436800585072,walking
226,700.0,354.0,0.0,102.59142264341597,102.59142264341597,walking
227,706.0,357.0,0.0,101.98039027185568,101.98039027185568,walking
228,700.0,356.0,0.0,103.32473082471591,103.32473082471591,walking
229,645.0,351.0,-68.10579405303436,112.37882362794157,124.47088012864697,walking
230,677.0,349.0,0.0,100.71742649611336,100.71742649611336,walking
231,640.0,346.0,-60.81408418388992,114.03946685248928,113.71895180663601,walking
232,634.0,343.0,-51.60383694711895,114.23659658795864,111.4136436887332,walking
233,610.0,341.0,-42.827935700149695,114.8259552540278,99.92497185388643,walking
234,592.0,341.0,-30.051683074192127,112.36102527122115,94.83142938920619,walking
235,601.0,340.0,-12.72148917654377,108.46197490364999,92.77930803794558,walking
236,588.0,341.0,-14.278466273752402,108.90362712049584,91.66242414424788,walking
237,574.0,343.0,-8.80445816131015,98.18350166906862,97.41663102366041,walking
238,571.0,354.0,0.0,102.0441081101697,102.0441081101697,walking
239,552.0,357.0,0.0,100.4041831797859,100.4041831797859,walking
240,560.0,354.0,0.0,103.31021246711283,103.31021246711283,walking
241,550.0,357.0,0.0,101.43470806385753,101.43470806385753,walking
242,550.0,354.0,0.0,104.08650248711405,104.08650248711405,walking
243,504.0,354.0,-61.478881133623055,121.26417442921878,117.33712115098105,walking
244,501.0,354.0,-65.38444599527925,121.79490958164055,113.44161493913953,walking
245,484.0,359.0,-66.9583023883528,118.07201192492657,115.74541027617464,walking
246,481.0,354.0,-55.85905689424956,125.70600622086441,98.41239759298624,walking
247,562.0,356.0,-120.07866053023929,174.45056606385663,246.4183434730458,walking
248,466.0,346.0,-47.7161154107326,123.36936410632909,91.92388155425118,walking
249,459.0,346.0,-43.052975802864395,122.52754792290588,89.0056178002265,walking
250,439.0,348.0,-9.01987394185372,117.42657280190032,83.21658488546619,walking
251,425.0,357.0,-11.392516151559592,108.77959367454909,101.316336293808,walking
252,426.0,359.0,-7.042338513771893,106.30145812734648,105.11898020814318,walking
253,409.0,365.0,0.0,100.60318086422515,100.60318086422515,walking
254,419.0,362.0,0.0,102.3132444994293,102.3132444994293,walking
255,413.0,365.0,0.0,100.24470060806208,100.24470060806208,walking
256,405.0,362.0,0.0,103.39245620450264,103.39245620450264,walking
257,409.0,365.0,0.0,100.60318086422515,100.60318086422515,walking
258,394.0,364.0,0.0,101.6070863670443,101.6070863670443,walking
259,392.0,360.0,0.0,102.1420579389313,102.1420579389313,walking
260,387.0,360.0,0.0,102.45974819410792,102.45974819410792,walking
261,376.0,359.0,0.0,103.12128781197411,103.12128781197411,walking
262,328.0,357.0,-65.2006737932998,110.92339699089636,119.3314711214104,walking
263,285.0,359.0,-9.961893420321381,98.41239759298624,97.32933781753576,walking
264,298.0,354.0,-4.686777916302325,103.07764064044153,93.08598175880189,walking
265,284.0,357.0,-14.858165818736454,101.2719112093773,99.50376877284597,walking
266,278.0,357.0,0.0,100.60318086422515,100.60318086422515,walking
267,272.0,357.0,0.0,100.71742649611336,100.71742649611336,walking
268,277.0,349.0,0.0,92.91393867445292,92.91393867445292,walking
269,257.0,357.0,0.0,100.31948963187561,100.31948963187561,walking
270,260.0,360.0,0.0,97.12878049270464,97.12878049270464,walking
271,220.0,359.0,-46.09997266349258,105.47511554864492,106.51291001564081,walking
272,253.0,360.0,0.0,97.86725703727473,97.86725703727473,walking
273,212.0,357.0,-58.25141886493461,116.1077086157504,111.8257573191436,walking
274,213.0,357.0,-63.4012608398949,115.6027681329474,118.4314147513235,walking
275,201.0,357.0,-62.263618149829206,112.2541758688736,112.64546151532248,walking
276,374.0,354.0,-143.65840312226538,256.58137110866016,428.4390271672272,walking
277,148.0,359.0,-4.127216467369888,98.08159868191383,96.04686356149273,walking
278,183.0,349.0,-54.34467190209966,113.22543883774529,105.0,walking
279,354.0,357.0,-145.28710146897714,257.2333570904054,448.5365091048888,walking
280,137.0,357.0,0.0,100.4987562112089,100.4987562112089,walking
281,134.0,359.0,-15.19285198656788,98.508882848198,98.31073186585479,walking
282,130.0,357.0,0.0,100.84145972763385,100.84145972763385,walking
283,114.0,357.0,0.0,100.84145972763385,100.84145972763385,walking
284,127.0,355.0,0.0,102.3132444994293,102.3132444994293,walking
285,125.0,356.0,0.0,100.9752444909147,100.9752444909147,walking
286,113.0,357.0,0.0,102.83968105745953,102.83968105745953,walking
287,98.0,357.0,0.0,101.6070863670443,101.6070863670443,walking
288,111.0,356.0,0.0,102.83968105745953,102.83968105745953,walking
289,84.0,360.0,0.0,99.46356116689167,99.46356116689167,walking
290,97.0,360.0,0.0,102.45974819410792,102.45974819410792,walking
291,96.0,353.0,0.0,105.01904589168576,105.01904589168576,walking
292,71.0,348.0,0.0,102.39140588936164,102.39140588936164,walking
293,80.0,346.0,0.0,106.04244433244644,106.04244433244644,walking
294,12.0,345.0,-4.4697038062805525,103.07764064044153,102.07840124139877,walking
295,4.0,346.0,0.0,102.0196059588548,102.0196059588548,walking
296,12.0,345.0,-2.2522585845446974,104.00480758118829,101.04454463255303,walking
297,267.0,346.0,-147.59770418143887,282.44999557443793,533.8351805566957,walking
298,10.0,360.0,0.0,73.17103251970688,73.17103251970688,walking
299,529.0,380.0,0.0,270.6806236138819,270.6806236138819,walking
300,529.0,426.0,0.0,263.9185480408681,263.9185480408681,walking
301,794.0,434.0,0.0,14.035668847618199,14.035668847618199,walking
302,794.0,434.0,0.0,14.035668847618199,14.035668847618199,walking
303,9.0,455.0,0.0,25.317977802344327,25.317977802344327,walking
304,26.0,402.0,0.0,71.0211236182588,71.0211236182588,walking
305,29.0,392.0,0.0,74.52516353554685,74.52516353554685,walking
306,37.0,373.0,0.0,101.6070863670443,101.6070863670443,walking
307,49.0,373.0,0.0,102.18121158021177,102.18121158021177,walking
308,53.0,373.0,0.0,101.6070863670443,101.6070863670443,walking
309,49.0,370.0,0.0,105.11898020814318,105.11898020814318,walking
310,48.0,367.0,0.0,107.07940978544848,107.07940978544848,walking
311,51.0,370.0,0.0,103.75451797391763,103.75451797391763,walking
312,44.0,370.0,0.0,103.81714694596455,103.81714694596455,walking
313,58.0,370.0,0.0,102.48902380255166,102.48902380255166,walking
314,55.0,370.0,0.0,103.48429832588128,103.48429832588128,walking
315,63.0,370.0,0.0,102.2399139279763,102.2399139279763,walking
316,64.0,370.0,0.0,103.01941564578979,103.01941564578979,walking
317,73.0,365.0,0.0,100.04498987955368,100.04498987955368,walking
